Item,Opening Inventory(2021),Purchases (2021),Total Inventory(2021),Cost of Total Inventory,Sales Quantity(2021),Ending Inventory(2021),Average Inventory,COGS,Inventory_turnover,DSI
The On Air Light Company Record Lens Classic,3,0,3,60,0,3,3,0,0,NoTurnover
The Studio Items AMB 22-4,1,0,1,0,0,1,1,0,0,NoTurnover
Warm Audio WA-87,14,-3,11,6090,0,11,12.5,0,0,NoTurnover
Warm Audio WA-87 B-Stock,1,0,1,435,0,1,1,0,0,NoTurnover
Warm Audio WA12-500 MKII,3,0,3,930,0,3,3,0,0,NoTurnover
Warm Audio WA76,1,0,1,890,0,1,1,0,0,NoTurnover
Wheatstone PRE99-1518,1,0,1,75,0,1,1,0,0,NoTurnover
Wheatstone Pre-OasisWire-Ana,4,0,4,600,0,4,4,0,0,NoTurnover
Wheatstone Pre-OasisWire-Main,3,0,3,450,0,3,3,0,0,NoTurnover
Wheatstone Pre-OasisWire-Mic,4,0,4,600,0,4,4,0,0,NoTurnover
Wheatstone R55 Mainframe,1,0,1,750,0,1,1,0,0,NoTurnover
Wheatstone SPN2000,2,0,2,400,0,2,2,0,0,NoTurnover
Wheatstone Vorsis M1,12,0,12,9450,0,12,12,0,0,NoTurnover
Wheatstone Vorsis M2,4,0,4,5835,0,4,4,0,0,NoTurnover
Wheatstone Vorsis VP-8ip,1,0,1,1900,0,1,1,0,0,NoTurnover
Wheatstone VoxPro-V7 B-stock,1,0,1,1771.88,0,1,1,0,0,NoTurnover
Wheatstone XYE-R-IP Rackmount X-Y Controller,1,0,1,600,0,1,1,0,0,NoTurnover
Whirlwind IM2,1,0,1,39.77,0,1,1,0,0,NoTurnover
Whiteridge Industrial WRI-CRM-1,2,0,2,0,0,2,2,0,0,NoTurnover
WindTech 301,1,0,1,4.5,0,1,1,0,0,NoTurnover
WindTech 302,8,0,8,36,0,8,8,0,0,NoTurnover
WindTech 303,4,0,4,18,0,4,4,0,0,NoTurnover
WindTech 304,2,0,2,9,0,2,2,0,0,NoTurnover
WindTech 305,2,0,2,9,0,2,2,0,0,NoTurnover
WindTech 308,7,0,7,31.5,0,7,7,0,0,NoTurnover
WindTech 312,18,0,18,81,0,18,18,0,0,NoTurnover
WindTech 612,6,0,6,26.28,0,6,6,0,0,NoTurnover
WindTech 8801,1,0,1,3.45,0,1,1,0,0,NoTurnover
WindTech 904,6,0,6,28.5,0,6,6,0,0,NoTurnover
WindTech 912,21,0,21,104.5,0,21,21,0,0,NoTurnover
WindTech 914,2,0,2,9.5,0,2,2,0,0,NoTurnover
WindTech GN-19,5,0,5,40,0,5,5,0,0,NoTurnover
WindTech GN-6,11,0,11,60.5,0,11,11,0,0,NoTurnover
Wheatstone PRE99-1444-22,1,0,1,125,0,1,1,0,0,NoTurnover
Wheatstone PRE99-1444-21,4,0,4,400,0,4,4,0,0,NoTurnover
Wheatstone Oasis Install Kit,1,0,1,50,0,1,1,0,0,NoTurnover
Wheatstone 99-1425,1,0,1,450,0,1,1,0,0,NoTurnover
Wheatstone 15-3-1,6,0,6,150,0,6,6,0,0,NoTurnover
Wheatstone 15-603,2,0,2,50,0,2,2,0,0,NoTurnover
Wheatstone 71-1193B,1,0,1,25,0,1,1,0,0,NoTurnover
Wheatstone 71-1197B,2,0,2,50,0,2,2,0,0,NoTurnover
Wheatstone 71-1215B,1,0,1,25,0,1,1,0,0,NoTurnover
Wheatstone 76-1502,1,0,1,25,0,1,1,0,0,NoTurnover
Wheatstone 76-1901,4,0,4,100,0,4,4,0,0,NoTurnover
Wheatstone 80-1788-1 C,1,0,1,25,0,1,1,0,0,NoTurnover
Wheatstone 95-1010-4,1,0,1,25,0,1,1,0,0,NoTurnover
Wheatstone 952-9266.071,3,0,3,75,0,3,3,0,0,NoTurnover
Wheatstone 99-1191,3,0,3,240,0,3,3,0,0,NoTurnover
Wheatstone 99-1362,1,0,1,1850,0,1,1,0,0,NoTurnover
Wheatstone 99-1450-08,3,0,3,870,0,3,3,0,0,NoTurnover
Wheatstone M4IP-USB,10,0,10,28869.8,0,10,10,0,0,NoTurnover
Wheatstone 99-1502,3,0,3,360,0,3,3,0,0,NoTurnover
Wheatstone 99-1503,8,0,8,800,0,8,8,0,0,NoTurnover
Wheatstone 99-1505,3,0,3,900,0,3,3,0,0,NoTurnover
Wheatstone 99-1505 USB,8,0,8,2400,0,8,8,0,0,NoTurnover
Wheatstone 99-1506,2,0,2,140,0,2,2,0,0,NoTurnover
Wheatstone A-6000,1,0,1,103.1,0,1,1,0,0,NoTurnover
Wheatstone CR2000,1,0,1,150,0,1,1,0,0,NoTurnover
Wheatstone DONC-4A,1,0,1,100,0,1,1,0,0,NoTurnover
Wheatstone FM-55,11,-3,8,14978.25,0,8,9.5,0,0,NoTurnover
Wheatstone IN-12,1,0,1,428.8,0,1,1,0,0,NoTurnover
Wheatstone LS2600,1,0,1,100,0,1,1,0,0,NoTurnover
Wheatstone M-2,46,-19,27,34986.75,0,27,36.5,0,0,NoTurnover
TWR Lighting 6390-FAA,18,0,18,864,0,18,18,0,0,NoTurnover
TC Electronic CLARITY M STEREO,13,0,13,2939.94,0,13,13,0,0,NoTurnover
Middle Atlantic MA-WRK-RR40,2,0,2,149.5,0,2,2,0,0,NoTurnover
Shure RK354SB,7,0,7,56,0,7,7,0,0,NoTurnover
Shure RMCE-BT1,21,0,21,1470,0,21,21,0,0,NoTurnover
Shure RMCE-BT2,17,0,17,1785,0,17,17,0,0,NoTurnover
Shure RMCE-LTG,21,0,21,1470,0,21,21,0,0,NoTurnover
Shure RMCE-UNI,18,0,18,336,0,18,18,0,0,NoTurnover
Shure RPM510,5,0,5,105,0,5,5,0,0,NoTurnover
Shure SE112-GR,20,0,20,621,0,20,20,0,0,NoTurnover
Shure SE112-K-BT1,20,0,20,1302,0,20,20,0,0,NoTurnover
Shure SE215-CL+UNI,22,0,22,2898,0,22,22,0,0,NoTurnover
Shure SE215-CL-BT1,21,0,21,2205,0,21,21,0,0,NoTurnover
Shure SE215-K+UNI,10,0,10,756,0,10,10,0,0,NoTurnover
Shure SE215-K-BT1,12,0,12,1365,0,12,12,0,0,NoTurnover
Shure SE215SPE-B+UNI,9,0,9,567,0,9,9,0,0,NoTurnover
Shure SE215SPE-B-BT1,10,0,10,1050,0,10,10,0,0,NoTurnover
Shure SE215SPE-W+UNI,10,0,10,630,0,10,10,0,0,NoTurnover
Shure SE425-CL,8,0,8,1360.8,0,8,8,0,0,NoTurnover
Shure SE425-V+BT1,5,0,5,1050,0,5,5,0,0,NoTurnover
Shure SE535-CL,7,0,7,2268,0,7,7,0,0,NoTurnover
Shure SE535-V+BT1,5,0,5,1750,0,5,5,0,0,NoTurnover
Shure SM57-LC,150,0,150,15928.6,0,150,150,0,0,NoTurnover
Shure SM57-LC B-Stock,3,0,3,197.1,0,3,3,0,0,NoTurnover
Shure SM58-LC,214,0,214,21317.9,0,214,214,0,0,NoTurnover
Shure SM58-LC (B-Stock),8,-6,2,852.12,0,2,5,0,0,NoTurnover
Shure SM58-X2U,11,0,11,1285.2,0,11,11,0,0,NoTurnover
Shure SM58S,102,0,102,7840.48,0,102,102,0,0,NoTurnover
Shure SM5B-BACK,11,0,11,0,0,11,11,0,0,NoTurnover
Shure SM7B,48,0,48,11380.88,0,48,48,0,0,NoTurnover
Shure SM7B Demo,3,0,3,841.08,0,3,3,0,0,NoTurnover
Shure RMCE B-stock,8,0,8,168,0,8,8,0,0,NoTurnover
Shure MVi/A-LTG,27,0,27,2091.6,0,27,27,0,0,NoTurnover
Symetrix Radius AEC (120V) B-Stock,1,0,1,849.5,0,1,1,0,0,NoTurnover
Shure MV88/A,6,0,6,276.45,0,6,6,0,0,NoTurnover
Shively Labs 318F-001,33,0,33,115.5,0,33,33,0,0,NoTurnover
Shively Labs 318F-010,14,0,14,127.4,0,14,14,0,0,NoTurnover
Shively Labs 318F-302,10,0,10,4872,0,10,10,0,0,NoTurnover
Shively Labs 318F-600,10,0,10,3811.5,0,10,10,0,0,NoTurnover
Shively Labs 318F-620,6,0,6,2058,0,6,6,0,0,NoTurnover
Shively Labs 318F-630,7,0,7,2184,0,7,7,0,0,NoTurnover
Shively Labs 318F-902,2,0,2,98,0,2,2,0,0,NoTurnover
Shively Labs 318F-925,7,0,7,343,0,7,7,0,0,NoTurnover
Shively Labs 318NF-302,1,0,1,182,0,1,1,0,0,NoTurnover
Shively Labs SLV-1,1,0,1,742.5,0,1,1,0,0,NoTurnover
Shure 44A8023C,6,0,6,6,0,6,6,0,0,NoTurnover
Shure A120S,1,0,1,20,0,1,1,0,0,NoTurnover
Shure A3WS,9,0,9,81,0,9,9,0,0,NoTurnover
Shure A58WS-BLK,6,0,6,30,0,6,6,0,0,NoTurnover
Shure A58WS-BLU,10,0,10,50,0,10,10,0,0,NoTurnover
Shure A58WS-GRA,1,0,1,5,0,1,1,0,0,NoTurnover
Shure BETA 52A,12,0,12,3327.75,0,12,12,0,0,NoTurnover
Shure BETA 57A,21,0,21,1767.15,0,21,21,0,0,NoTurnover
Shure BETA 58A,64,0,64,6507.6,0,64,64,0,0,NoTurnover
Shure BLX24/PG58-J10,3,0,3,675,0,3,3,0,0,NoTurnover
Shure BLX24/SM58-H10,5,0,5,1225,0,5,5,0,0,NoTurnover
Shure BLX24R/SM58-H10,6,0,6,1674,0,6,6,0,0,NoTurnover
Shure Beta 58A B-stock,2,0,2,165.24,0,2,2,0,0,NoTurnover
Shure Black Foam Sleeves,1,0,1,0,0,1,1,0,0,NoTurnover
Shure HPACA1,1,0,1,9,0,1,1,0,0,NoTurnover
Shure MV5/A-B-LTG,20,0,20,1546.6,0,20,20,0,0,NoTurnover
Shure MV51/A,22,0,22,2818.65,0,22,22,0,0,NoTurnover
Shure SRH1840,3,0,3,1050,0,3,3,0,0,NoTurnover
Shure SRH440,9,0,9,609,0,9,9,0,0,NoTurnover
Shure SRH440 Used - Good,2,0,2,91,0,2,2,0,0,NoTurnover
Shure SRH840,5,0,5,567,0,5,5,0,0,NoTurnover
Sound Devices MixPre-6,2,0,2,2430,0,2,2,0,0,NoTurnover
Staco Energy Products SCV-10001,9,0,9,4158,0,9,9,0,0,NoTurnover
Staco Energy Products SCV-10001 Demo,1,0,1,462,0,1,1,0,0,NoTurnover
Staco Energy Products SCV-BAT-1K,1,0,1,432,0,1,1,0,0,NoTurnover
Stanton C.502 B-Stock,1,0,1,0,0,1,1,0,0,NoTurnover
Stanton T92USB-NA,3,0,3,540,0,3,3,0,0,NoTurnover
Stormin Protection Optelator (noise & Lightning eliminator),12,-8,4,1304.76,0,4,8,0,0,NoTurnover
StreamEye 10,22,12,34,25881.2,0,34,28,0,0,NoTurnover
StreamEye 10 - HDMI Only Demo,2,0,2,866.46,0,2,2,0,0,NoTurnover
StreamEye 10-H,2,0,2,839.2,0,2,2,0,0,NoTurnover
StreamEye Control,12,0,12,5460,0,12,12,0,0,NoTurnover
StudioHub PS-WWBLACK (do not use),14,0,14,427.5,0,14,14,0,0,NoTurnover
StudioHub SH-HPB,6,0,6,675,0,6,6,0,0,NoTurnover
StudioHub SH-MOON,13,0,13,900,0,13,13,0,0,NoTurnover
StudioHub SH-PATCH15PK,1,0,1,52.5,0,1,1,0,0,NoTurnover
StudioHub SH-PATCH1PK,15,0,15,262.5,0,15,15,0,0,NoTurnover
StudioHub SH-PATCH20PK,1,0,1,70,0,1,1,0,0,NoTurnover
StudioHub SH-PATCH25PK,1,0,1,77,0,1,1,0,0,NoTurnover
StudioHub SH-PATCH2PK,18,0,18,352.8,0,18,18,0,0,NoTurnover
StudioHub SH-PATCH3PK,12,0,12,268.8,0,12,12,0,0,NoTurnover
StudioHub SH-PATCH5PK,1,0,1,28,0,1,1,0,0,NoTurnover
StudioHub SH-PATCH7PK,1,0,1,31.5,0,1,1,0,0,NoTurnover
Switchcraft 297,63,0,63,173.25,0,63,63,0,0,NoTurnover
Symetrix ARC-EX4e (B-Stock),1,0,1,54.5,0,1,1,0,0,NoTurnover
Symetrix ARC-K1e - Black 120V (B-Stock),1,0,1,74.5,0,1,1,0,0,NoTurnover
Symetrix Jupiter 4 (120V) (B-Stock),1,0,1,384.5,0,1,1,0,0,NoTurnover
Symetrix Prism 16x16 (120V) (B-Stock),1,0,1,1199.5,0,1,1,0,0,NoTurnover
Sony RK-G136HG,2,0,2,0,0,2,2,0,0,NoTurnover
Sony POC-15AB,4,0,4,0,0,4,4,0,0,NoTurnover
Sony PC-234S,2,0,2,0,0,2,2,0,0,NoTurnover
SlingStudio Battery,10,1,11,7339.52,0,11,10.5,0,0,NoTurnover
Shure SRH840 Demo,6,0,6,756,0,6,6,0,0,NoTurnover
Shure WA371,1,0,1,5,0,1,1,0,0,NoTurnover
Shure WA555,1,0,1,4,0,1,1,0,0,NoTurnover
Shure X2U,3,0,3,231,0,3,3,0,0,NoTurnover
Signal Inside SII-CT-15-100,2,0,2,31,0,2,2,0,0,NoTurnover
Signal Inside SII-SI-HG38PL,10,0,10,100.6,0,10,10,0,0,NoTurnover
Signal Inside SII-SI-RMA23,1,0,1,8.13,0,1,1,0,0,NoTurnover
Signal Inside SII-SI-RMA34,23,0,23,224.71,0,23,23,0,0,NoTurnover
Signal Inside SII-SI-SOAT,5,0,5,34,0,5,5,0,0,NoTurnover
Sine Systems DAI-2,1,0,1,671.3,0,1,1,0,0,NoTurnover
Sine Systems TS-1/PS,1,0,1,46.9,0,1,1,0,0,NoTurnover
Site Pro 1 BA783,1,0,1,18.6,0,1,1,0,0,NoTurnover
SlingStudio Camera Link,4,0,4,33078.6,0,4,4,0,0,NoTurnover
Sony MDW80PL,8,0,8,0,0,8,8,0,0,NoTurnover
SlingStudio Camera Link Demo,1,0,1,0,0,1,1,0,0,NoTurnover
SlingStudio Hub,31,0,31,46890.55,0,31,31,0,0,NoTurnover
SlingStudio Hub Demo,2,1,3,0,0,3,2.5,0,0,NoTurnover
SlingStudio USB Expander,7,0,7,2159.61,0,7,7,0,0,NoTurnover
SlingStudio USB Expander Demo,1,0,1,0,0,1,1,0,0,NoTurnover
Sonifex RB-DA6G,6,0,6,2520,0,6,6,0,0,NoTurnover
Sony 211566803,2,0,2,0,0,2,2,0,0,NoTurnover
Sony AD-PCM2,2,0,2,0,0,2,2,0,0,NoTurnover
Sony ECM-55B/9X,1,0,1,0,0,1,1,0,0,NoTurnover
Sony ECM-66B/9X,2,0,2,0,0,2,2,0,0,NoTurnover
Sony LCPCMM10G,12,0,12,0,0,12,12,0,0,NoTurnover
Sony MDR-V600,10,0,10,0,0,10,10,0,0,NoTurnover
WindTech M-11,3,0,3,25.5,0,3,3,0,0,NoTurnover
WindTech MM-421/US,8,0,8,159.84,0,8,8,0,0,NoTurnover
WindTech MM-51,3,0,3,49.44,0,3,3,0,0,NoTurnover
Alesis SR-16,3,3,6,770,0,6,4.5,0,0,NoTurnover
Alesis SamplePad 4,6,0,6,1700,0,6,6,0,0,NoTurnover
Alesis SamplePad Pro,9,2,11,2700,0,11,10,0,0,NoTurnover
Alesis SamplePad Pro (B-Stock),1,0,1,225,0,1,1,0,0,NoTurnover
Alesis SamplePad Pro (FBA),7,0,7,1350,0,7,7,0,0,NoTurnover
Alesis Strike Multi Pad,1,0,1,540,0,1,1,0,0,NoTurnover
Alesis Strike Multi Pad (FBA),3,-1,2,-500,0,2,2.5,0,0,NoTurnover
Allen & Heath AH-GL2400-24,1,0,1,1713.23,0,1,1,0,0,NoTurnover
Allen & Heath AH-GR3,2,0,2,958.56,0,2,2,0,0,NoTurnover
Allen & Heath AH-GR4,2,2,4,2137.42,0,4,3,0,0,NoTurnover
Allen & Heath AH-LEDLAMP-X,3,-1,2,150.58,0,2,2.5,0,0,NoTurnover
Allen & Heath AH-M-DANTE-A,6,0,6,7969.57,0,6,6,0,0,NoTurnover
Allen & Heath AH-M-SQ-SDANTE-A v2,23,0,23,15178.32,0,23,23,0,0,NoTurnover
Allen & Heath AH-M-SQ-SLINK-A,2,0,2,287.22,0,2,2,0,0,NoTurnover
Allen & Heath AH-M-SQ-WAVES3-A,1,0,1,540.52,0,1,1,0,0,NoTurnover
Allen & Heath AH-ME-500  b-stock,2,0,2,536.67,0,2,2,0,0,NoTurnover
360 Systems Shortcut (one digi input doesn't work,2,0,2,1120,0,2,2,0,0,NoTurnover
Allen & Heath AH-ME-U (B-Stock),1,0,1,1110.01,0,1,1,0,0,NoTurnover
Allen & Heath AH-QU-16-RK19,6,3,9,417.42,0,9,7.5,0,0,NoTurnover
Allen & Heath AH-QU-16C,4,7,11,13514.49,0,11,7.5,0,0,NoTurnover
Allen & Heath AH-QU-24C (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Allen & Heath AH-QU-32C,6,4,10,24647.16,0,10,8,0,0,NoTurnover
Allen & Heath AH-QU-PAC-32,2,0,2,2088.1,0,2,2,0,0,NoTurnover
Allen & Heath AH-QU-SB,4,6,10,12856.14,0,10,7,0,0,NoTurnover
Allen & Heath AH-QU-SB (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Allen & Heath AH-SQ-6,2,1,3,8362.77,0,3,2.5,0,0,NoTurnover
Allen & Heath AH-XB10 (B-Stock),3,0,3,823.89,0,3,3,0,0,NoTurnover
Allen & Heath AH-XONE:23,2,0,2,0,0,2,2,0,0,NoTurnover
Alesis SR18,2,0,2,370,0,2,2,0,0,NoTurnover
Alesis MultiMix 8 USB FX (B-Stock),2,1,3,101.7,0,3,2.5,0,0,NoTurnover
WindTech SG-150,2,0,2,37.5,0,2,2,0,0,NoTurnover
Alesis MultiMix 8 USB FX,17,2,19,2743,0,19,18,0,0,NoTurnover
ART CLEANBOX II,3,2,5,224,0,5,4,0,0,NoTurnover
ART CLEANBoxPro  B-Stock,9,0,9,0,0,9,9,0,0,NoTurnover
ART CX310,1,0,1,116,0,1,1,0,0,NoTurnover
ART DJPRE-2,5,0,5,192,0,5,5,0,0,NoTurnover
ART DUALLIMITER,6,0,6,678,0,6,6,0,0,NoTurnover
ART HEADAMP4,8,0,8,320,0,8,8,0,0,NoTurnover
ART HeadAmp4Pro,2,0,2,240,0,2,2,0,0,NoTurnover
ART PROCHANNELII (B-Stock),1,0,1,247.49,0,1,1,0,0,NoTurnover
ART SLA1 (B-Stock),1,1,2,303.53,0,2,1.5,0,0,NoTurnover
ART SLA2 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
ART SLA4,1,0,1,287.5,0,1,1,0,0,NoTurnover
ART TPSII,9,12,21,3415.27,0,21,15,0,0,NoTurnover
ART TPSII b-stock,1,0,1,0,0,1,1,0,0,NoTurnover
ART TUBEMIX,5,6,11,2804.83,0,11,8,0,0,NoTurnover
ART TUBEMP,53,0,53,2387.5,0,53,53,0,0,NoTurnover
ART TUBEMP B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
ART TUBEMPUSB,8,0,8,640,0,8,8,0,0,NoTurnover
ART TubeOpto8,1,0,1,366.29,0,1,1,0,0,NoTurnover
ART USBDualPrePS,6,0,6,378,0,6,6,0,0,NoTurnover
AVMatrix HVS0401,1,0,1,339.29,0,1,1,0,0,NoTurnover
Adam Audio T5V,12,0,12,1568.88,0,12,12,0,0,NoTurnover
Akai Pro MPC LIVE II,2,11,13,11760,0,13,7.5,0,0,NoTurnover
Akai Pro MPC ONE,3,5,8,4000,0,8,5.5,0,0,NoTurnover
Alesis DRP100,13,6,19,570,0,19,16,0,0,NoTurnover
Alesis Elevate 5 MKII (pair),12,-3,9,2375,0,9,10.5,0,0,NoTurnover
Alesis MultiMix 10 Wireless,8,0,8,1845,0,8,8,0,0,NoTurnover
Alesis MultiMix 4 USB FX B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Allen & Heath AH-XONE:K2,2,-1,1,-198.23,0,1,1.5,0,0,NoTurnover
Allen & Heath AH-ZED10 (B-Stock),3,1,4,737.76,0,4,3.5,0,0,NoTurnover
Allen & Heath AH-ZED10 (FBA),3,10,13,2664.09,0,13,8,0,0,NoTurnover
Allen & Heath AH-ZED10FX,2,0,2,447.88,0,2,2,0,0,NoTurnover
Aston Microphones AST-ORIGIN,4,0,4,838,0,4,4,0,0,NoTurnover
Atlas Sound AA60G,5,1,6,2139.6,0,6,5.5,0,0,NoTurnover
Atlas Sound AP-S15A,6,0,6,468.12,0,6,6,0,0,NoTurnover
Atlas Sound DS5,5,0,5,74.3,0,5,5,0,0,NoTurnover
Atlas Sound FAP42T,3,3,6,410.34,0,6,4.5,0,0,NoTurnover
Atlas Sound FAP42T (Pair),3,0,3,0,0,3,3,0,0,NoTurnover
Atlas Sound FAP62T (Pair),3,0,3,450.7,0,3,3,0,0,NoTurnover
Atlas Sound FAP82T (Single),2,2,4,497.16,0,4,3,0,0,NoTurnover
Atlas Sound PA40G,18,0,18,2943.86,0,18,18,0,0,NoTurnover
Atlas Sound SM42T-B (B-stock),1,0,1,0,0,1,1,0,0,NoTurnover
Atlas Sound TSD-MIX31RL,1,0,1,285.78,0,1,1,0,0,NoTurnover
Audio-Technica 135405750,34,0,34,0,0,34,34,0,0,NoTurnover
Audio-Technica AE2300,3,0,3,481.95,0,3,3,0,0,NoTurnover
Audio-Technica AE2500,1,0,1,327.25,0,1,1,0,0,NoTurnover
Audio-Technica AE3000,8,0,8,1326,0,8,8,0,0,NoTurnover
Audio-Technica AE4100,3,0,3,354.45,0,3,3,0,0,NoTurnover
Audio-Technica AT2005USB (B-Stock),3,3,6,253.68,0,6,4.5,0,0,NoTurnover
Audio-Technica AT2005USB-EDU,100,0,100,5015,0,100,100,0,0,NoTurnover
Audio-Technica AT2020  B-stock,8,2,10,199.4,0,10,9,0,0,NoTurnover
Audio-Technica AT2020PK (B-Stock),5,-1,4,256.36,0,4,4.5,0,0,NoTurnover
Audio-Technica AT2020USB+  B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Audio-Technica AT2020USB+V,25,0,25,2953.75,0,25,25,0,0,NoTurnover
Audio-Technica AT2020V,28,0,28,2740.4,0,28,28,0,0,NoTurnover
Audio-Technica AT2035PK B-stock,1,0,1,0,0,1,1,0,0,NoTurnover
Audio-Technica AT4040,35,4,39,12910.65,0,39,37,0,0,NoTurnover
Audio-Technica AT4040 (B-Stock),1,4,5,704.81,0,5,3,0,0,NoTurnover
Audio-Technica AT4041SP,1,3,4,1186.6,0,4,2.5,0,0,NoTurnover
Aston Microphones AST-HALO,4,0,4,918,0,4,4,0,0,NoTurnover
Arrakis ARC-MIC-PRE,1,0,1,120,0,1,1,0,0,NoTurnover
Aphex Channel (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Allen & Heath AH-ZEDi8,26,33,59,27107.42,0,59,42.5,0,0,NoTurnover
Allen & Heath AH-ZED12FX,4,0,4,3672.9,0,4,4,0,0,NoTurnover
Allen & Heath AH-ZED12FX (FBA),5,-1,4,1224.3,0,4,4.5,0,0,NoTurnover
Allen & Heath AH-ZED14 (FBA),4,0,4,0,0,4,4,0,0,NoTurnover
Allen & Heath AH-ZED14-RK19,2,0,2,114.3,0,2,2,0,0,NoTurnover
Allen & Heath AH-ZED18,2,1,3,1343.76,0,3,2.5,0,0,NoTurnover
Allen & Heath AH-ZED22FX,2,3,5,3051.85,0,5,3.5,0,0,NoTurnover
Allen & Heath AH-ZED24,3,2,5,2738.85,0,5,4,0,0,NoTurnover
Allen & Heath AH-ZED6 (FBA),14,-1,13,-88.41,0,13,13.5,0,0,NoTurnover
Allen & Heath AH-ZED6FX,3,-1,2,272.86,0,2,2.5,0,0,NoTurnover
Allen & Heath AH-ZEDi10 (B-Stock),3,2,5,659.04,0,5,4,0,0,NoTurnover
Allen & Heath AH-ZEDi10FX,7,2,9,6242.78,0,9,8,0,0,NoTurnover
Allen & Heath AH-ZEDi10FX (FBA),6,6,12,1208.28,0,12,9,0,0,NoTurnover
Allen & Heath AH-ZEDi8 (B-Stock),2,1,3,220.8,0,3,2.5,0,0,NoTurnover
Aphex 320A Analog Compellor,2,0,2,110,0,2,2,0,0,NoTurnover
Allen & Heath AH-ZEDi8 (FBA),9,20,29,2549.59,0,29,19,0,0,NoTurnover
Allen & Heath XONE:K2 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Altec Air PMP26A19,10,0,10,24.75,0,10,10,0,0,NoTurnover
Altronic Research 6705F1,1,0,1,0,0,1,1,0,0,NoTurnover
Andrew 114EZNF,1,0,1,71.66,0,1,1,0,0,NoTurnover
Andrew 6652188010,28,-22,6,520,0,6,17,0,0,NoTurnover
Andrew A5DF-D,4,0,4,144,0,4,4,0,0,NoTurnover
Andrew A5DM-D,2,0,2,288.6,0,2,2,0,0,NoTurnover
Andrew A5FX-EZPT Loaner,3,0,3,0,0,3,3,0,0,NoTurnover
Angry Audio 991003 (B-Stock),1,0,1,0,0,1,1,0,0,NoTurnover
Angry Audio 991004,10,0,10,2303,0,10,10,0,0,NoTurnover
Angry Audio 991021,10,0,10,1253,0,10,10,0,0,NoTurnover
ART ARTS8,1,0,1,175,0,1,1,0,0,NoTurnover
ART AR5,3,0,3,300,0,3,3,0,0,NoTurnover
AKG Podcaster Essentials,105,-88,17,2856.98,0,17,61,0,0,NoTurnover
Yellowtec YT5051,1,0,1,151.5,0,1,1,0,0,NoTurnover
Yellowtec YT3230 mkII,20,0,20,0,0,20,20,0,0,NoTurnover
Yellowtec YT3230 mkII Demo,2,0,2,0,0,2,2,0,0,NoTurnover
Yellowtec YT3230/3M,2,0,2,0,0,2,2,0,0,NoTurnover
Yellowtec YT3231,26,0,26,3354,0,26,26,0,0,NoTurnover
Yellowtec YT3235,50,0,50,2103.75,0,50,50,0,0,NoTurnover
Yellowtec YT3236,29,0,29,2409.75,0,29,29,0,0,NoTurnover
Yellowtec YT3237,5,0,5,427.5,0,5,5,0,0,NoTurnover
Yellowtec YT3240,13,0,13,2247,0,13,13,0,0,NoTurnover
Yellowtec YT3240/2,5,0,5,0,0,5,5,0,0,NoTurnover
Yellowtec YT3241,11,0,11,2078.25,0,11,11,0,0,NoTurnover
Yellowtec YT3246,9,0,9,270,0,9,9,0,0,NoTurnover
Yellowtec YT3247,23,0,23,414,0,23,23,0,0,NoTurnover
Yellowtec YT3270,7,0,7,0,0,7,7,0,0,NoTurnover
Yellowtec YT3271,9,0,9,1309.5,0,9,9,0,0,NoTurnover
Yellowtec YT3275,7,2,9,830.25,0,9,8,0,0,NoTurnover
Yellowtec YT3280,10,0,10,4492.5,0,10,10,0,0,NoTurnover
Yellowtec YT3605,10,4,14,5256,0,14,12,0,0,NoTurnover
Yellowtec YT3629,10,0,10,3324.75,0,10,10,0,0,NoTurnover
Yellowtec YT3641,3,0,3,366.75,0,3,3,0,0,NoTurnover
Yellowtec YT3660,10,0,10,802.5,0,10,10,0,0,NoTurnover
Yellowtec YT3661,10,0,10,1215,0,10,10,0,0,NoTurnover
Yellowtec YT3705,14,0,14,8745,0,14,14,0,0,NoTurnover
Yellowtec YT3812,5,10,15,7821,0,15,10,0,0,NoTurnover
Yellowtec YT4210,11,0,11,5949,0,11,11,0,0,NoTurnover
Yellowtec YT4211,7,0,7,3470.25,0,7,7,0,0,NoTurnover
Yellowtec YT4240,6,0,6,2245.5,0,6,6,0,0,NoTurnover
Yellowtec YT5041,5,0,5,757.5,0,5,5,0,0,NoTurnover
Yellowtec YT3229,26,0,26,6649.5,0,26,26,0,0,NoTurnover
Yellowtec YT3228,14,0,14,3976.5,0,14,14,0,0,NoTurnover
Yellowtec YT3221,7,0,7,243,0,7,7,0,0,NoTurnover
Yellowtec YT3200/4,7,0,7,0,0,7,7,0,0,NoTurnover
Windtech 20/421B-01,40,0,40,962.47,0,40,40,0,0,NoTurnover
Windtech 20/421B-12,30,0,30,1025.38,0,30,30,0,0,NoTurnover
Windtech B-1 BAG,8,0,8,39.6,0,8,8,0,0,NoTurnover
